EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR168035,8725,,,,SCRI,Graffito,(Series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 293 (M. Della Corte) (1)<br>CIL 04, 08725 (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168035 (3)",,,,,
EDR168036,8726,,,,"Sa=
lve",Greetings,Hello!,,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 294 (M. Della Corte) (1)<br>CIL 04, 08726 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168036 (4)",,,,,
EDR168037,8727,,,,"Beliatus
IABET",Graffito,Beliatus (...other letters here...),,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 295 e p. 287 con apografo (M. Della Corte) (1)<br>CIL 04, 08727 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, pp. 515, 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168037 (4)",,,,,
EDR168038,8728,,,,III K(alendas) Mart(is),Graffito mentioning a date,3 days before the Kalends of March (=Feb. 27th),,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 296 (M. Della Corte) (1)<br>CIL 04, 08728 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168038 (4)",,,,,
EDR168039,8729,,,,III K(alendas) Mart(is) hic scr(ipsi),Graffito mentioning a date,"3 days before the Kalends of March (=Feb. 27th), I wrote here",,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 296 (M. Della Corte) (1)<br>CIL 04, 08729 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168039 (4)",,,,,
EDR168040,8730,,,,"〈:ad perpendiculum〉
Mar̲",Graffito ,MAR,,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 297 (M. Della Corte) (1)<br>CIL 04, 08730 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 171 con foto e p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168040 (4)",,,,,
EDR168041,8731,,,,"M
Q
Q
Q",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 288, nr. 298 (M. Della Corte) (1)<br>CIL 04, 08731 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168041 (4)",,,,,
EDR167672,8732,Drawing of a face,,,"((:caput hominis ad sin.)) 
Surus (:Syrus)
Hol(coni?)",Graffito,"Syrus, (slave of) Hol(conius?)",,,,,,,,,"Not. Sc., 64, 1939, p. 288-289, nr. 299 (M. Della Corte) (1)<br>CIL 04, 08732 (2)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung, und Bedeutung, Wiesbaden 2001, nr. 252 (Spottbild), con apografo (3)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I, p. 171 con foto (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167672 (5)",,,,,
EDR167701,8733,,,,"L(ucius) Statiụs
Modestus 
Q(uintus) Postûmius",List of names,"Lucius Statius, Modestus, Quintus Postumius (or Lucius Statius Modestus, Quintus Postumius)",,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 300 (M. Della Corte) (1)<br>CIL 04, 08733 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I, p. 171 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167672 (4)",,,,,
EDR167702,8734,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 301 e p. 287 con apografo (M. Della Corte) (1)<br>CIL 04, 08734 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167702 (3)",,,,,
EDR167699,8735,,,,"〈:stria 15〉
DP̲

〈:stria 16〉
R
R

〈:stria 17〉
B",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 302 (M. Della Corte) (1)<br>CIL 04, 08735 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I, p. 172 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167699 (4)",,,,,
EDR167909,8736,,,,"〈:stria 5-6〉
S̲e̲v̲e̲r̲us

〈:striae 6-7〉
Severus Iulius CX

〈:stria 12〉
Severụ(s)
Sever(us)",Graffito naming Severus,"Severus, Severus Iulius ""110"", Severus Severus",,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 303-306 (1)<br>CIL 04, 08736 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 173 con fotos e p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167909 (4)",,,,,
EDR167910,8737,,,,Pṛịṃa,Graffito naming Prima,Prima,,,,,,,,,"Not. Sc. 64, 1939, p. 289, nr. 307 (M. Della Corte) (1)<br>CIL 04, 08737 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 174 con foto e p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR16167910 (4)",,,,,
EDR167944,8738,,,,Cauda,Graffito,Tail,,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 308 (M. Della Corte) (1)<br>CIL 04, 08738 con apografo (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 174 con foto e p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167944 (4)",,,,,
EDR167945,8739,,,,Elencia (:Ἐλεγχία),Graffito naming Elencia,Elencia (i.e. a name),,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 309 (M. Della Corte) (1)<br>CIL 04, 08739 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167945 (4)",,,,,
EDR167946,8740,,,,"L(ucius?) · DEC DXVS·
X X X",Series of letters and numbers,,,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 310 (M. Della Corte) (1)<br>CIL 04, 08740 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167946 (4)",,,,,
EDR167947,8741,,,,"P(ublius) Corneli=
us
Faventi=
nus 
tonsor",Graffito mentioning a barber,"Publius Cornelius Faventius, barber",,,,,,,,,"Not. Sc., 64, 1939, p. 289, nr. 311 (M. Della Corte) (1)<br>CIL 04, 08741 con apografo (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167947 (4)",,,,,
EDR168044,8742,,,,"〈:ad perpendiculum〉
Liberalis",Graffito naming Liberalis,Liberalis,,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 312 (M. Della Corte) (1)<br>CIL 04, 08742 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168044 (4)",,,,,
EDR168047,8744,,,,PṾN[I]CO sal(utem),Greetings,Hello to Punicus,,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 315 (M. Della Corte) (1)<br>CIL 04, 08744 (2) <br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 175 con fotos e p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168047 (4)",,,,,
EDR167482,8745,,,,Quiscus (:Quisquis) ama(t),Poetic graffito,Whoever loves,,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 316 (M. Della Corte) (1)<br>CIL 04, 08745 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. II, p. 524 con apografo (3)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167482 (4)",,,,,
EDR168305,8746,,,,P̣aris ṿa(le),Greetings to Paris,"Bye, Paris",,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 317 (M. Della Corte) (1)<br>CIL 04, 08746 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168305 (4)",,,,,
EDR168365,8747,,,,STI puela (:puella) M̂ula,Graffito,(...other letters here...) girl Mula,,,,,,,,,"Not. Sc., 64, 1939, p. 290, nr. 318 (M. Della Corte) (1)<br>CIL 04, 08747 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I-II, p. 175 con foto e p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168365 (4)",,,,,
EDR167722,8749,,,,Seciọlo,Graffito,(name?),,,,,,,,,"Not. Sc., 1939, p. 291, nr. 319 (M. Della Corte) (1)<br>CIL 04, 08749 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I-II, p. 176 e p. 524 con foto et apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167722 (4)",,,,,
EDR167723,8750,,,,Satur,Graffito,Satyr,,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 320 (M. Della Corte) (1)<br>CIL 04, 08750 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 176 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167723 (4)",,,,,
EDR167724,8751,,,,"Xomanus (:Romanus?)
Homulo",Graffito,A Roman to a little man,,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 320 (M. Della Corte) (1)<br>CIL 04, 08751 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 176 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167724 (4)",,,,,
EDR167725,8752,,,,QVETI,Graffito,(Series of letters),,,,,,,,,"Not. Sc., 64, 1939,  p. 291, nr. 322 (M. Della Corte) (1)<br>CIL 04, 08752 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 177 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167725 (4)",,,,,
EDR167726,8753,,,,"〈:stria 6〉
C̲o̲(nsul?)

〈:stria 8〉
Co(n)s(ul)",Graffito,"Co(nsul?), Consul",,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 323 (M. Della Corte) (1)<br>CIL 04, 08753 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 177, con foto e apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167726 (4)",,,,,
EDR168303,8754,,,,"Suṃ
Q Vesuvius",Graffito naming Quintus Vesuvius,I am Quintus Vesuvius,,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 324 (M. Della Corte) (1)<br>CIL 04, 08754 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 178 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168303 (4)",,,,,
EDR167727,8755,,,,Venis,Graffito,(Translation uncertain without context),,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 326 (M. Della Corte) (1)<br>CIL 04, 08755 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 178 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167727 (4)",,,,,
EDR167728,8756,,,,Valentis,Graffito naming Valens,of Valens,,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 327 (M. Della Corte) (1)<br>CIL 04, 08756 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 178 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167723(4)",,,,,
EDR167729,8757,,,,"I HIICVII
VIILIS",Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 328 (M. Della Corte) (1)<br>CIL 04, 08757 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 178, con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167729 (4)",,,,,
EDR167730,8758,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 291 nr. 328 nota e p. 290 con apografo (M. Della Corte) (1)<br>CIL 04, 08758 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR1674730 (3)",,,,,
EDR168363,8759,,,col. CIV,,Graffito mentioning a name (?),,,,,,,,,,,,,,,
EDR168362,8760,,,col. CV,,Graffito naming Anthus,"Anthus, slave of Cosinius (?), (...other letters here...)",,,,,,,,,,,,,,
EDR168360,8761,,,col. CV,,Series of characters,(Incomprehensible series of characters),,,,,,,,,,,,,,
EDR168358,8762,,,col. CV,,Graffito naming M. Magonius Vesbinus,Marcus Magonius Vesbinus,,,,,,,,,,,,,,
EDR168357,8763,,,col. CV,,Graffito naming Iucundus,Iucundus,,,,,,,,,,,,,,
EDR168348,8764,a,,col. CV,,Graffito,Wherever you wish,,,,,,,,,,,,,,
EDR168349,8764,b,,col. CV,,Graffito mentioning Rome,Rome,,,,,,,,,,,,,,
EDR168347,8765,,,col. CV,,Graffito naming Auctus,"Auctus, Auctus, (uncertain word)",,,,,,,,,,,,,,
EDR168345,8766,,,col. CV,,Series of letters,(Incomprehensible series of letters),,,,,,,,,,,,,,
EDR077698,8767,,,col. CV,,Graffito about a soldier in Pompeii,"Floronius . . ., soldier of the 7th legion, was here, and women didn't know, except for a few – and there were six!",,,,,,,,,,,,,,
EDR160313,8768,,,col. CVI,,Quotation from the Aeneid,"Come on, son, {you} call the west winds",,,,,,,,,,,,,,
EDR167731,8769,a,,col. CVI,,Tally marks,"""15""",,,,,,,,,,,,,,
EDR167732,8769,b,,col. CVI,,Graffito naming Liberalis,"Liberalis, Prima (?)",,,,,,,,,,,,,,
EDR167733,8769,c,,col. CVI,,Graffito mentioning Pittacius and Primigenia,"Pittacius was here with Primigenia. Prima, follow (me). --Volumnius",,,,,,,,,,,,,,
EDR167867,8770,a,,col. CVI,,Graffito mentioning Primigenia and Prima,Primigenia was here with Prima.,,,,,,,,,,,,,,
EDR167868,8770,b,,col. CVI,,Graffito naming Liberalis,Liberalis ,,,,,,,,,,,,,,
EDR167869,8770,c,,col. CVI,,Graffito naming Liberalis,Liberalis (...other letters here...),,,,,,,,,,,,,,
EDR167870,8770,d,,col. CVI,,Graffito naming Dorcas,Dorcas (...other letters here...),,,,,,,,,,,,,,
EDR167871,8770,e,,col. CVI,,Graffito naming Prima,"Prima . . . Q, Q, Q",,,,,,,,,,,,,,
EDR167872,8771,a,,col. CVI,,Graffito mentioning Dorcas and Sollemnis,Dorcas was here with Sollemnis,,,,,,,,,,,,,,
EDR167873,8771,b,,col. CVI,,Graffito naming Dorcas and Prima,"Dorcas, Prima",,,,,,,,,,,,,,
EDR167874,8771,c,,col. CVI,,Series of letters,Incomprehensible series of letters,,,,,,,,,,,,,,
EDR167875,8771,d,,col. CVI,,Graffito,"Ro(?), Ro(?)",,,,,,,,,,,,,,
EDR167876,8772,,,col. CVI,,Beginning of a name,Lib(eralis),,,,,,,,,,,,,,
EDR167879,8773,,,col. CVI,,Graffito mentioning money,"""19"" asses (coins)",,,,,,,,,,,,,,
EDR167880,8774,,,col. CVI,,Graffito,NC,,,,,,,,,,,,,,
EDR167881,8775,,,col. CVI,,Graffito,Mini(us?),,,,,,,,,,,,,,
EDR168280,8776,a,,col. CVII,,Series of letters,(Incomprehensible series of letters),,,,,,,,,,,,,,
EDR168281,8776,b,,col. CVII,,Series of letters,(Incomprehensible series of letters),,,,,,,,,,,,,,
EDR168282,8777,,,col. CVII,,Graffito naming Suavis,"Suavis, i.e. a name (""Sweet"")",,,,,,,,,,,,,,
EDR168284,8778,,,col. CVII,,Roman numerals,"""60"", ""12""",,,,,,,,,,,,,,
EDR168285,8779,,,col. CVII,,Graffito naming Tiburtius(?),(...other letters here...) Itburtius (for Tiburtius? Tiburtinus?),,,,,,,,,,,,,,
EDR168288,8780,,,col. CVII,,Graffito mentioning Mopsus,"A weight of (?) ""24"", PRI, Mopsus",,,,,,,,,,,,,,
EDR168286,8781,,,col. CVII,,Graffito mentioning Liberalis,"Lib(eralis?), Liberalis, Liberalis, we came",,,,,,,,,,,,,,
EDR168287,8782,a,,col. CVII,,Graffito ,"Here ""3""",,,,,,,,,,,,,,
EDR168290,8782,b,,col. CVII,,Series of characters,(Incomprehenisible series of characters),,,,,,,,,,,,,,
EDR168292,8783,,,col. CVIII,,Greetings naming Umbricia,"Friend, greetings, Umbricia",,,,,,,,,,,,,,
EDR168293,8784,,,col. CVIII,,Graffito naming Genialis,Genialis with Thelon,,,,,,,,,,,,,,
EDR170827,8785,,,col. CVIII,,Graffito mentioning Narcissus,Narcissus -- Narcissus is thirsty here -- Narcissus is thirsty over here.,,,,,,,,,,,,,,
EDR168294,8786,,,col. CIX,,Series of letters,(Unclear series of letters),,,,,,,,,,,,,,
EDR168295,8787,,,col. CIX,,Series of letters,DVS,,,,,,,,,,,,,,
EDR168296,8788,,,col. CIX,,Graffito naming Pomponius,"Oh, Lucius Pomponius",,,,,,,,,,,,,,
EDR167884,8789,a,,col. CX,,Graffito mentioning Felicio,"Samnis(?) how much(??) do you owe, Felicio, (other letters here)",,,,,,,,,,,,,,
EDR167885,8789,b,,col. CX,,Graffito naming Felicio and Verus,"Felicio, Verus, ""9""",,,,,,,,,,,,,,
EDR167887,8789,c,,col. CX,,Graffito mentioning Verus and money,"Verus, 6 1/2 asses (coins), QUA (?), Verus, 3 asses (coins)",,,,,,,,,,,,,,
EDR167889,8789,d,,col. CX,,Graffito mentioning Verus,"Livius Verus ""10""",,,,,,,,,,,,,,
EDR167890,8790,a,,col. CX,,Graffito,Traveler (?),,,,,,,,,,,,,,
EDR167892,8790,b,,col. CX,,Graffito,(Unclear series of letters),,,,,,,,,,,,,,
EDR167894,8791,,,col. CX,,Graffito,(Individual letters),,,,,,,,,,,,,,
EDR167948,8792,a,,col. CXI,,Graffito,(Series of letters),,,,,,,,,,,,,,
EDR147923,8792,b,24,col. CXI,,Graffito mentioning travel,Antiochus stayed here with his Cythera,,Boats,,Sails,,,,,,,,,,
EDR167952,8793,,,col. CXI,,Initials,C F I,,,,,,,,,,,,,,
EDR167951,8794,,,col. CXI,,Greetings to Mus,"Goodbye, Mus",,,,,,,,,,,,,,
EDR167425,8795,,,col. CXIII,,Graffito naming Proculus,Proculus,,,,,,,,,,,,,,
EDR167426,8796,,,col. CXIII,,Individual Letters,"F, R, A",,,,,,,,,,,,,,
EDR167427,8797,,,col. CXIV,,Graffito,"Pitamnus, Marc ""51""? (or Pitamnus, freedman of Marcius)",,,,,,,,,,,,,,
EDR167428,8798,,,col. CXIV,,Graffito ,"VIvir/Severus, those whom I at Pompeii...  (no verb written)",,,,,,,,,,,,,,
EDR167429,8799,,,col. CXIV,,Series of letters,(Incomprehensible series of letters),,,,,,,,,,,,,,
EDR167430,8800,,,col. CXIV,,Graffito,Whom,,,,,,,,,,,,,,
EDR160169,8801,,,col. CXIV,,Graffito naming Corydon,Corydon,,,,,,,,,,,,,,
EDR167504,8802,,,col. CXV,,Greetings to Mus,"Bye, Mus",,,,,,,,,,,,,,
EDR167505,8803,,,col. CXVI,,Beginning of a name,Sauf(eius?),,,,,,,,,,,,,,
EDR167506,8804,b,,col. CXVII,,Beginning of a name,Of Persius(?) (following the conventions of bronze stamps with names in the genitive),,,,,,,,,,,,,,
EDR167507,8805,,,col. CXVII,,Graffito mentioning a date,"On the 7th day before the Ides of September, Quintus Postumius asked Aulus Attius, ""Can I screw you?""",,,,,,,,,,,,,,
EDR167536,8806,,,col. CXVIII,,Graffito naming Auctus,"Auctus (slave of ?) Popidius, everywhere",,,,,,,,,,,,,,
EDR167537,8807,a,,col. CXVIII,,Statement about a charming girl,The girl was charming to Ceius and many (others),,,,,,,,,,,,,,
EDR167610,8807,b,,col. CXVIII,,Graffito naming Proculus,of Gaius Asinius Proculus,,,,,,,,,,,,,,
EDR167611,8807,c,,col. CXVIII,,Graffito naming Manilius,Manilius,,,,,,,,,,,,,,
EDR167953,8808,,,,Omnibụ[s P]ompeianis,Graffito mentioning Pompeii,(Hooray) for all the Pompeians!,,,,,,,,,"Not. Sc., 64, 1939, p. 302, nr. 397 (M. Della Corte) (1)<br>CIL 04, 08808 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167953 (3)<br>",,,,,
EDR167954,8809,,,,Anatolii,Graffito,of Anatolius(?),,,,,,,,,"Not. Sc. 64, 1939, p. 300, nr. 3396 (M. Della Corte) (1) <br>CIL 04, 08809 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167954 (3)",,,,,
EDR167955,8810,,,,"Aug(ustalis?) Pier(us) C[ela?]dus
Papiri 〈:servum〉 Amandu[m---]um
medicavit",Graffito about medicine,"The Augustalis(?), Pier C(???)dus, cured Amandus (the slave?) of Papirius",,,,,,,,,"Not. Sc., 64, 1939, p. 304, nr. 399 (M. Della Corte) (1)<br>CIL 04, 08810 (2)<br>Hackworth Petersen, L. 2006, The Freedman in Roman Art and Art History, p. 251, n. 36 (3)",,,,,
EDR167996,8811,,,,VI 〈:vacat〉 XI 〈:vacat〉 VII,Roman numerals,"""6,"" ""11,"" ""7""",,,,,,,,,"Not. Sc., 64, 1939, p. 311, nr. 424 (M. Della Corte) (1)<br>CIL 04, 08811 (2)<br>http: //ancientgraffiti.org/Graffiti/graffito/AGP-EDR167996 (3)",,,,,
EDR167998,8812,,,,"Arruntius
XXVII
A(ssibus?)",Graffito mentioning money,"Arruntius ""27"" asses (coins)",,,,,,,,,"Not. Sc., 64, 1939, p. 311, nr. 425 (M. Della Corte) (1)<br>CIL 04, 08812 (2)<br>http: //ancientgraffiti.org/Graffiti/graffito/AGP-EDR167998 (3)",,,,,
EDR167999,8813,,,,Â Âcti,Graffito naming Actius,"Oh, Aulus Actius!",,,,,,,,,"Not. Sc., 64, 1939, p. 311, nr. 426 (M. Della Corte) (1)<br>CIL 04, 08813, con apografo (2)<br>Http: //ancientgraffiti.org/Graffiti/graffito/AGP-EDR167999 (3)",,,,,
EDR168001,8814,,,,"〈:columna I〉
VIII   VI
〈:columna II〉
VIII
〈:columna III〉
VIII
〈:columna IV〉 
Λ (:assibus) III
〈:columna V〉 
N",Roman numerals,"""8"" ""6,"" ""8,"" ""8,"" 3 asses (small coins), N",,,,,,,,,"Not. Sc., 64, 1939, p. 311, nr. 427 (M. Della Corte) (1)<br>CIL 04, 08814 (2)<br>http: //ancientgraffiti.org/Graffiti/graffito/AGP-EDR168001 (3)",,,,,
EDR180466,9278,,,,A B C D II I G     V     T     X,Alphabet,,,,,,,,,,"CIL 04, 09278 (1)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR180466 (2)",,,,,
EDR167553,9279,,,,"〈:ad perpendiculum〉
ABCD",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 241, nr. 2 (M. Della Corte) (1)<br>CIL 04, 09279 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167553 (3)",,,,,
EDR167585,9282,,,col. XXI,,Alphabet,,,,,,,,,,"15-17, 3-11",,,,,
EDR167585,9282,,,,ABCDEF〈:vacat〉MNOPQRSTV,Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 256, nr. 94 (M. Della Corte) (1)<br>CIL 04, 09282 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167585 (3)",,,,,
EDR167586,9283,,,col. XXII,,Alphabet,,,,,,,,,,"14-17, 2-12",,,,,
EDR168120,9284,,,,"〈:vacat〉 D
C ABCD",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 261, nr. 129 (M. Della Corte) (1)<br>CIL 04, 09284, con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168120 (3)",,,,,
EDR167629,9286,,,,ABCDEH,Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 270, nr. 173 (M. Della Corte) (1)<br>CIL 04, 09286 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167629 (3)",,,,,
EDR167631,9287,,,,ABD,Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 271, nr. 178 (M. Della Corte) (1)<br>CIL 04, 09287 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167631 (3)",,,,,
EDR167646,9288,,,,"ΙΖ
ΘH̲
ΚΖ",Greek Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 274, nr. 192 (M. Della Corte) (1)<br>CIL 04, 09288 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167646 (3)",,,,,
EDR167647,9289,,,,"〈:ad perpendiculum〉
AB",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 276, nr. 210 (M. Della Corte) (1)<br>CIL 04, 09289 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167647 (3)",,,,,
EDR167331,9290,,,,"〈:vacat〉X
ABCEDFG",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 278, nr. 228 (M. Della Corte) (1)<br>CIL 04, 09290 (2)	<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167331 (3)",,,,,
EDR167409,9291,,,,ABCD,Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 280, nr. 243 (M. Della Corte) (1)<br>CIL 04, 09291 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 522 con apografo a Luigi Izzo disegnato (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167409 (4)",,,,,
